Label,AUC,AP
tired,0.9349936098925772,0.9037807465096799
sleep difficulty,0.9063703140830801,0.7842626829731808
appetite decreased,0.9054731780932495,0.7421101473075483
move slowly,0.8743490851481034,0.36648680304682435
irritable,0.8665718260978317,0.33694877187917444
cognitive,0.9454033430232557,0.810628173352711
weight decreased,0.9562229989362395,0.77564559041553
weight increased,0.8710709909729689,0.2550106422315092
dispirited,0.9118222891566266,0.5315635617637017
